458,Hot Shots Golf,1997,1,4,
459,A Bugs Life,1998,2,4,
460,WWF SmackDown! Just Bring It,2001,10,29,
461,Dragon Quest V: Tenkuu no Hanayome,1992,4,25,
462,Mortal Kombat Trilogy,1996,10,14,
463,Monster Hunter Tri,2011,4,1,
464,NBA Street,2001,1,7,E
465,Jak II,2003,2,4,T
466,Ratchet & Clank: Going Commando,2003,2,4,
467,Killzone 3,2011,7,4,M
468,Need for Speed: Hot Pursuit,2010,3,7,E10+
469,Skylanders: Spyros Adventure,2011,9,5,E10+
470,The Sims,2003,8,7,T
471,Star Wars: The Force Unleashed,2008,9,19,T
472,Saints Row: The Third,2011,9,29,M
473,Yoshis Island DS,2006,2,1,E
474,Missile Command,1980,7,11,
475,Mario Paint,1992,6,1,
476,Tekken 6,2009,10,26,T
477,Pok\xc3\xa9mon Stadium 2,2000,12,1,
478,Sonic and the Secret Rings,2007,2,9,E
479,Metroid,1986,9,1,
480,Onimusha: Warlords,2001,9,18,M
481,Mario Party,1998,6,1,
482,Call of Duty 3,2006,7,5,T
483,Madden NFL 12,2011,1,7,E
484,LEGO Star Wars II: The Original Trilogy,2006,9,19,E10+
485,Killzone: Shadow Fall,2013,7,4,M
486,Madden NFL 11,2010,1,7,E
487,Yokai Watch 2 Shinuchi,2014,4,37,
488,Burnout 3: Takedown,2004,3,7,T
489,Professor Layton and the Last Specter,2009,5,1,E10+
490,Mario vs. Donkey Kong: Mini-Land Mayhem!,2010,5,1,E
491,Call Of Duty 2: Big Red One,2005,7,5,T
492,Skate 3,2010,1,7,T
493,Fable,2004,4,2,M
494,Hannah Montana,2006,9,33,E
495,Super Mario Bros.: The Lost Levels,1986,2,1,
496,Need for Speed: Shift,2009,3,7,E
497,Star Wars: Shadows of the Empire,1996,9,1,
498,Medal of Honor Heroes,2006,7,7,T
499,Final Fantasy XIII-2,2011,4,16,T
500,Midnight Club: Street Racing,2000,3,3,T
501,Halo Wars,2009,12,2,T
502,NBA 2K12,2011,1,3,E
503,ESPN NFL 2K5,2004,1,9,E
504,Pac-Man: Adventures in Time,2006,10,4,
505,Harry Potter and the Chamber of Secrets,2002,9,7,E
506,Streets of Rage,1990,9,9,
507,God of War Collection,2009,9,4,M
508,NBA Live 2005,2004,1,7,E
509,FIFA Soccer 09,2008,1,7,E
510,Mario Strikers Charged,2007,1,1,E10+
511,Style Savvy,2008,8,1,E
512,Super Mario All-Stars: Limited Edition,2010,2,1,
513,WWE SmackDown vs. RAW 2007,2006,10,29,T
514,Bloodborne,2015,9,4,M
515,Ratchet & Clank: Up Your Arsenal,2004,2,4,
516,Madden NFL 08,2007,1,7,E
517,Overwatch,2016,7,5,T
518,Monster Hunter Freedom 2,2007,4,13,T
519,Ghostbusters: The Video Game (DS Version),2009,9,3,
520,Ratchet & Clank Future: Tools of Destruction,2007,2,4,
521,Sonic Adventure 2 Battle,2001,2,9,E
522,Dragon Warrior II,1987,4,25,
523,Dragon Age: Origins,2009,4,7,M
524,Pok\xc3\xa9mon Colosseum,2003,4,1,E
525,Madden NFL 09,2008,1,7,E
526,Space Invaders,1978,7,11,
527,Skylanders Giants,2012,9,5,E10+
528,NBA 2K14,2013,1,3,E
529,Art Academy,2010,6,1,E
530,Crazy Taxi,2001,3,31,T
531,Perfect Dark,2000,9,1,
532,Dragon Warrior,1986,4,13,
533,Need for Speed (2015),2015,3,7,
534,Deca Sports,2008,1,15,E
535,PES 2009: Pro Evolution Soccer,2008,1,15,
536,Mario Party 2,1999,6,1,
537,Marvel: Ultimate Alliance,2006,4,5,T
538,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,2003,9,3,
539,Mortal Kombat: Deadly Alliance,2002,10,39,M
540,Game Party,2007,6,39,E
541,Tomb Raider: The Last Revelation,1998,9,22,
542,Mario Party 4,2002,6,1,E
543,Pure,2008,3,33,E
544,Rock Band,2007,6,7,T
545,Resistance 2,2008,7,4,M
546,NBA 2K15,2014,1,3,E
547,Midnight Club: Los Angeles,2008,3,3,T
548,Final Fantasy Tactics,1997,4,10,T
549,Final Fantasy V,1992,4,10,
550,Twisted Metal 2,1996,3,4,
551,LEGO Harry Potter: Years 1-4,2010,9,20,E10+
552,The Sims: Bustin Out,2003,8,7,T
